entry_time,signal_cutoff,exit_time,holding_days,symbol,category,eligible_count,ivol60,ivol90,ivol120,alpha90,beta90,tvol90,max28,mom90,log_volume30,entry_price,exit_price,target_asset_return,target_market_return,target_excess_return
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,BNBUSDT,Layer-1,24,0.01699163044743441,0.018526216442907167,0.018867481201076425,0.000776964914300981,0.6938980062226959,0.03801169733198298,0.062240179633658244,-0.06476724559998281,20.192546149039046,278.99,284.65,0.02028746550055538,-0.023486567113241097,0.043774032613796476
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,CRVUSDT,DeFi,24,0.047354967584135654,0.044767173008516986,0.04903077242557671,0.0009156734649722076,1.362777769008298,0.07757580773878278,0.08507543092814665,-0.17555680197919113,18.758791024618386,1.146,0.917,-0.19982547993019184,-0.023486567113241097,-0.17633891281695074
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,DASHUSDT,PoW,24,0.018995520457248158,0.01773855178980459,0.017673789264283413,-0.0010827519773237808,0.8784420645078538,0.04531096703643283,0.07294216891287686,-0.2604888045569469,16.832511550576516,44.46,41.91,-0.05735492577597845,-0.023486567113241097,-0.03386835866273735
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,ENSUSDT,Infrastructure,24,0.042272792016373385,0.0416665628826205,0.05109562603333995,0.003848016905735749,1.0479090792437415,0.06459514649867433,0.10528973548332354,0.13385985378694354,17.964378868274004,12.47,16.069,0.2886126704089813,-0.023486567113241097,0.3120992375222224
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,ETCUSDT,PoW,24,0.047687716960219215,0.04226869333554313,0.04126145636551323,0.007313697471091654,1.2828112042111914,0.0732623727401589,0.09630294316407095,0.38418347451447454,21.039844467750687,32.389,27.729,-0.14387600728642447,-0.023486567113241097,-0.12038944017318337
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,HBARUSDT,Layer-1,24,0.022006915386674406,0.02272600263481191,0.021356975221288318,-0.002119771995379798,0.8397860375351296,0.04593660361115001,0.054067221270275745,-0.3436109550352868,16.68892977108427,0.06293,0.05734,-0.0888288574606706,-0.023486567113241097,-0.0653422903474295
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,KAVAUSDT,DeFi,24,0.02192297234337246,0.02664967761014975,0.03780461928698841,-0.0032593690482451,0.8021875248116247,0.04657008827276682,0.06038485286536516,-0.4361061675579684,17.355158211413222,1.7807,1.5085,-0.1528612343460437,-0.023486567113241097,-0.1293746672328026
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,LINKUSDT,Infrastructure,24,0.022770511995014443,0.03227119228687635,0.029051949099868673,0.0014202367902817026,0.9400677670179094,0.054963342462936986,0.06859902574952104,-0.05505432876456706,19.048563731134266,6.62,7.581,0.14516616314199404,-0.023486567113241097,0.16865273025523514
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,LTCUSDT,Payment,24,0.018242332654705172,0.022788022312172498,0.021739912075358494,-0.00012108569066970132,0.8284810828229543,0.045517512686608474,0.04654289133975098,-0.16799756996761017,18.83197274724429,53.81,53.45,-0.0066902062813603,-0.023486567113241097,0.016796360831880797
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,NEARUSDT,Layer-1,24,0.029472347255070155,0.029678650996219517,0.03387972720445833,-0.00017941143623937013,1.2030408858226376,0.06366399392791879,0.1618508322477925,-0.24048106663087854,19.565186184561234,4.369,3.557,-0.18585488670176242,-0.023486567113241097,-0.16236831958852133
