signal_day,decision_time,entry_time,exit_time,usdt_daily_log_return,usdt_bns_rv,usdt_bns_bv,usdt_bns_tp,usdt_bns_z,positive_bns_jump,positive_fixed_jump,interaction,fixed_interaction,usdt_nonzero_hourly_returns,usdt_unique_hourly_closes,btc_prior_log_return,btc_realized_variance,btc_target_log_return,entry_price,exit_price,gross_event_short_return,daily_plan_feasibility_pnl
2022-03-12 00:00:00+00:00,2022-03-13 00:00:00+00:00,2022-03-13 00:15:00+00:00,2022-03-14 00:15:00+00:00,9.99650123289e-05,1.29925033578e-07,7.84895755209e-08,9.11729138007e-15,3.3816518683,1,1,9.99650123289e-05,9.99650123289e-05,13,3,0.00205404054888,0.000228358521552,-0.0331828185836,38871.5,37602.8,0.0331828185836,0.0068861156048
2022-03-26 00:00:00+00:00,2022-03-27 00:00:00+00:00,2022-03-27 00:15:00+00:00,2022-03-28 00:15:00+00:00,9.99550203241e-05,1.29883079144e-07,9.4163013984e-08,9.11303925617e-15,2.34898272891,1,1,9.99550203241e-05,9.99550203241e-05,13,2,0.00447624590196,0.000189230483565,0.047995918179,44522.3,46711.3,-0.047995918179,-0.0134085685859
2022-04-04 00:00:00+00:00,2022-04-05 00:00:00+00:00,2022-04-05 00:15:00+00:00,2022-04-06 00:15:00+00:00,0.000399960009331,1.31981112487e-07,8.54443440082e-08,1.35391492776e-14,2.51072840452,1,1,0.000399960009331,0.000399960009331,13,7,0.00405708868138,0.000543786520237,-0.0343061135735,46607.3,45035.5,0.0343061135735,0.00716693935228
2022-04-06 00:00:00+00:00,2022-04-07 00:00:00+00:00,2022-04-07 00:15:00+00:00,2022-04-08 00:15:00+00:00,0.000299925020994,1.89895050218e-07,7.85115501848e-08,9.12397818374e-15,7.32028421781,1,1,0.000299925020994,0.000299925020994,8,5,-0.0523081916953,0.000873471795733,0.00318655654432,43363.3,43501.7,-0.00318655654432,-0.00220622817718
2022-04-15 00:00:00+00:00,2022-04-16 00:00:00+00:00,2022-04-16 00:15:00+00:00,2022-04-17 00:15:00+00:00,9.99550203241e-05,1.49879074434e-07,1.09870969786e-07,1.36750256144e-14,2.14774692033,1,1,9.99550203241e-05,9.99550203241e-05,12,3,0.015257830601,0.000343498577961,-0.00252962918177,40452.3,40350.1,0.00252962918177,-0.000777181745654
2022-05-08 00:00:00+00:00,2022-05-09 00:00:00+00:00,2022-05-09 00:15:00+00:00,2022-05-10 00:15:00+00:00,9.99650123289e-05,1.89819135847e-07,1.25541277636e-07,1.60310542339e-14,3.18698160899,1,1,9.99650123289e-05,9.99650123289e-05,13,5,-0.0412900312241,0.000994065317288,-0.118670039567,34090.5,30275.8,0.118670039567,0.0282579208508
2022-05-09 00:00:00+00:00,2022-05-10 00:00:00+00:00,2022-05-10 00:15:00+00:00,2022-05-11 00:15:00+00:00,0.000199900050641,1.39854118096e-07,6.2769071551e-08,4.55773437605e-15,7.1679478203,1,1,0.000199900050641,0.000199900050641,11,5,-0.124241888593,0.00490537969671,0.022851084255,30275.8,30975.6,-0.022851084255,-0.00712236010485
2022-05-10 00:00:00+00:00,2022-05-11 00:00:00+00:00,2022-05-11 00:15:00+00:00,2022-05-12 00:15:00+00:00,0.000399680261116,3.19494622528e-07,2.35239790656e-07,7.05220302925e-14,1.99173527251,1,1,0.000399680261116,0.000399680261116,13,7,0.0309926358546,0.00406460563917,-0.051348347723,30975.6,29425.2,0.051348347723,0.0114274978897
2022-05-27 00:00:00+00:00,2022-05-28 00:00:00+00:00,2022-05-28 00:15:00+00:00,2022-05-29 00:15:00+00:00,3.00103535742e-05,1.96194392729e-07,1.45668696202e-07,2.58382921608e-14,1.97323862816,1,1,3.00103535742e-05,3.00103535742e-05,21,19,-0.0197421372438,0.00109669992908,0.010050823344,28718.5,29008.6,-0.010050823344,-0.0039222948771
2022-05-29 00:00:00+00:00,2022-05-30 00:00:00+00:00,2022-05-30 00:15:00+00:00,2022-05-31 00:15:00+00:00,0.000199980002666,1.19964009997e-07,4.711289686e-08,4.56320566284e-15,6.77018244449,1,1,0.000199980002666,0.000199980002666,9,4,0.0148382956214,0.000211809359543,0.0753604057967,29335.9,31632.1,-0.0753604057967,-0.0202496904903
2022-06-01 00:00:00+00:00,2022-06-02 00:00:00+00:00,2022-06-02 00:15:00+00:00,2022-06-03 00:15:00+00:00,0.000909686221008,5.35249625364e-07,3.74296314688e-07,1.74476269213e-13,2.4189725091,1,1,0.000909686221008,0.000909686221008,19,13,-0.0649958886151,0.00105472121793,0.0230139336335,29694,30385.3,-0.0230139336335,-0.00716307244948
2022-06-08 00:00:00+00:00,2022-06-09 00:00:00+00:00,2022-06-09 00:15:00+00:00,2022-06-10 00:15:00+00:00,0.000199900050641,1.59794201489e-07,7.84378144854e-08,1.14732977591e-14,4.76811501626,1,1,0.000199900050641,0.000199900050641,10,4,-0.03018956865,0.00143452991012,-0.00662133003742,30184.3,29985.1,0.00662133003742,0.00024574346826
2022-06-15 00:00:00+00:00,2022-06-16 00:00:00+00:00,2022-06-16 00:15:00+00:00,2022-06-17 00:15:00+00:00,0.000299895038985,7.31791141063e-07,3.39180237855e-07,2.90380655005e-13,4.57380576612,1,1,0.000299895038985,0.000299895038985,18,8,0.0199065875021,0.00954883575923,-0.10180162566,22638.4,20447.2,0.10180162566,0.024040817374
2022-06-24 00:00:00+00:00,2022-06-25 00:00:00+00:00,2022-06-25 00:15:00+00:00,2022-06-26 00:15:00+00:00,0.00101082390748,4.17837137802e-07,2.63615528044e-07,5.0039139387e-14,4.32802257895,1,1,0.00101082390748,0.00101082390748,20,18,0.00635990784762,0.00104459246546,0.00906908962237,21195.7,21388.8,-0.00906908962237,-0.00367686144669
