signal_day,decision_time,entry_time,exit_time,usdt_daily_log_return,usdt_bns_rv,usdt_bns_bv,usdt_bns_tp,usdt_bns_z,positive_bns_jump,positive_fixed_jump,interaction,fixed_interaction,usdt_nonzero_hourly_returns,usdt_unique_hourly_closes,btc_prior_log_return,btc_realized_variance,btc_target_log_return,entry_price,exit_price,gross_event_short_return,daily_plan_feasibility_pnl
2022-03-20 00:00:00+00:00,2022-03-21 00:00:00+00:00,2022-03-21 00:15:00+00:00,2022-03-22 00:15:00+00:00,0,1.59916034853e-07,1.09894508106e-07,4.56016502588e-15,4.65013825247,0,0,0,0,10,4,-0.0222228171896,0.000378108184768,-0.0102710366428,41346.7,40924.2,0.0102710366428,-0.000109589041096
2022-03-21 00:00:00+00:00,2022-03-22 00:00:00+00:00,2022-03-22 00:15:00+00:00,2022-03-23 00:15:00+00:00,-9.99850023329e-05,1.69903048835e-07,1.56979153395e-07,4.81368131815e-14,0.369788984382,0,0,-0,-0,14,6,-0.00678479798348,0.000598991437999,0.0368149740912,40924.2,42458.9,-0.0368149740912,-0.000109589041096
2022-03-22 00:00:00+00:00,2022-03-23 00:00:00+00:00,2022-03-23 00:15:00+00:00,2022-03-24 00:15:00+00:00,0,1.79968005749e-07,1.72756185609e-07,2.75593966501e-14,0.272715131948,0,0,0,0,15,3,0.0328331139055,0.00107348076828,0.013182036712,42458.9,43022.3,-0.013182036712,-0.000109589041096
2022-03-23 00:00:00+00:00,2022-03-24 00:00:00+00:00,2022-03-24 00:15:00+00:00,2022-03-25 00:15:00+00:00,0,1.19950016595e-07,7.85052707679e-08,4.56016502588e-15,3.85281718627,0,0,0,0,9,3,0.0121549015349,0.000569182354297,0.0199770314361,43022.3,43890.4,-0.0199770314361,-0.000109589041096
2022-03-24 00:00:00+00:00,2022-03-25 00:00:00+00:00,2022-03-25 00:15:00+00:00,2022-03-26 00:15:00+00:00,9.99850023329e-05,4.99890022579e-08,0,0,0,0,1,0,9.99850023329e-05,5,3,0.0254593960828,0.000531942468986,0.0110640072494,43890.4,44378.7,-0.0110640072494,-0.000109589041096
2022-03-25 00:00:00+00:00,2022-03-26 00:00:00+00:00,2022-03-26 00:15:00+00:00,2022-03-27 00:15:00+00:00,0.000199940018661,1.99858087381e-07,1.72644749567e-07,4.35522071144e-14,0.818607897377,0,1,0,0.000199940018661,14,6,0.00719210748149,0.000342293594371,0.00323056264588,44378.7,44522.3,-0.00323056264588,-0.000109589041096
2022-03-26 00:00:00+00:00,2022-03-27 00:00:00+00:00,2022-03-27 00:15:00+00:00,2022-03-28 00:15:00+00:00,9.99550203241e-05,1.29883079144e-07,9.4163013984e-08,9.11303925617e-15,2.34898272891,1,1,9.99550203241e-05,9.99550203241e-05,13,2,0.00447624590196,0.000189230483565,0.047995918179,44522.3,46711.3,-0.047995918179,-0.0134085685859
2022-03-27 00:00:00+00:00,2022-03-28 00:00:00+00:00,2022-03-28 00:15:00+00:00,2022-03-29 00:15:00+00:00,-0.000549876291693,9.52514146404e-08,3.35979788412e-08,4.55955722674e-15,5.7318544013,0,0,-0,-0,11,7,0.0510809736111,0.00130242707698,0.0119785867117,46711.3,47274.2,-0.0119785867117,-0.000109589041096
2022-03-28 00:00:00+00:00,2022-03-29 00:00:00+00:00,2022-03-29 00:15:00+00:00,2022-03-30 00:15:00+00:00,5.00012500417e-05,6.14972555158e-08,6.80120980277e-08,1.17429948598e-14,-0.377410247452,0,1,0,5.00012500417e-05,16,10,0.0064060545208,0.000436495927936,0.0023579136215,47274.2,47385.8,-0.0023579136215,-0.000109589041096
2022-03-29 00:00:00+00:00,2022-03-30 00:00:00+00:00,2022-03-30 00:15:00+00:00,2022-03-31 00:15:00+00:00,0.000199980002666,1.99902042616e-07,1.56991708935e-07,3.7964464362e-14,1.38252328631,0,1,0,0.000199980002666,12,5,0.00627670896098,0.000392005206433,-0.00553381421304,47385.8,47124.3,0.00553381421304,-0.000109589041096
2022-03-30 00:00:00+00:00,2022-03-31 00:00:00+00:00,2022-03-31 00:15:00+00:00,2022-04-01 00:15:00+00:00,-9.99850023329e-05,1.69927026049e-07,1.57013681401e-07,2.97356777698e-14,0.470109495046,0,0,-0,-0,14,4,-0.00773569669947,0.000451902371548,-0.0325828738785,47124.3,45613.6,0.0325828738785,-0.000109589041096
2022-03-31 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-04-01 00:15:00+00:00,2022-04-02 00:15:00+00:00,9.99850023329e-05,1.89907036928e-07,1.72701236864e-07,4.50028948671e-14,0.509159496167,0,1,0,9.99850023329e-05,13,4,-0.0334347633347,0.000459394462907,0.01209832761,45613.6,46168.8,-0.01209832761,-0.000109589041096
2022-04-01 00:00:00+00:00,2022-04-02 00:00:00+00:00,2022-04-02 00:15:00+00:00,2022-04-03 00:15:00+00:00,0.000299895038985,2.4977515789e-07,2.19702723256e-07,4.81053755401e-14,0.860738019581,0,1,0,0.000299895038985,16,5,0.0165696850183,0.000810142341773,-0.00561475251409,46168.8,45910.3,0.00561475251409,-0.000109589041096
2022-04-02 00:00:00+00:00,2022-04-03 00:00:00+00:00,2022-04-03 00:15:00+00:00,2022-04-04 00:15:00+00:00,-0.000199920032653,3.19854066103e-07,3.45413473614e-07,1.13779766765e-13,-0.475682817696,0,0,-0,-0,20,6,-0.0102957181831,0.000750531922023,0.00864467447758,45910.3,46308.9,-0.00864467447758,-0.000109589041096
2022-04-03 00:00:00+00:00,2022-04-04 00:00:00+00:00,2022-04-04 00:15:00+00:00,2022-04-05 00:15:00+00:00,-0.000399960009331,1.37577125249e-07,1.23761884301e-07,1.59429312742e-14,0.686868465961,0,0,-0,-0,15,6,0.0130175424701,0.000727119633541,0.00642301398198,46308.9,46607.3,-0.00642301398198,-0.000109589041096
2022-04-04 00:00:00+00:00,2022-04-05 00:00:00+00:00,2022-04-05 00:15:00+00:00,2022-04-06 00:15:00+00:00,0.000399960009331,1.31981112487e-07,8.54443440082e-08,1.35391492776e-14,2.51072840452,1,1,0.000399960009331,0.000399960009331,13,7,0.00405708868138,0.000543786520237,-0.0343061135735,46607.3,45035.5,0.0343061135735,0.00716693935228
