config_id,selected_candidate,direction,channel_lookback_15m,confirmation_bars_1m,max_entry_extension_atr,raw_trigger_count,favorable_trades,favorable_mean,favorable_median,favorable_win_rate,favorable_total_compound,favorable_max_drawdown,favorable_standard_error,favorable_mean_2021,favorable_mean_2022,favorable_mean_2023,base_trades,base_mean,base_median,base_win_rate,base_total_compound,base_max_drawdown,base_standard_error,base_mean_2021,base_mean_2022,base_mean_2023,stress_trades,stress_mean,stress_median,stress_win_rate,stress_total_compound,stress_max_drawdown,stress_standard_error,stress_mean_2021,stress_mean_2022,stress_mean_2023
LONG:64:1:0.25,True,LONG,64,1,0.25,5771,1360,-0.001383195275715427,-0.0024575995360851064,0.35073529411764703,-0.8531681792959508,-0.8640792401698791,0.00019741750444916538,-0.0012598132180088085,-0.0019857010880447554,-0.001005686285477387,576,-0.0032471779401373755,-0.004087047190885427,0.2847222222222222,-0.8498919063556668,-0.8560474118038592,0.00037192470927194807,-0.003341477307826831,-0.004124125547946381,-0.000821595958903726,221,-0.005454056090365959,-0.0060074543576385505,0.24434389140271492,-0.7051986559459096,-0.7148746654981705,0.000723282634156349,-0.005772640429782426,-0.0067087649028484625,0.0010266247206392335
LONG:64:1:0.5,True,LONG,64,1,0.5,9523,1690,-0.0014509115075138804,-0.002541391302192471,0.3384615384615385,-0.9177553600043027,-0.9231482305748928,0.00017601587100606335,-0.0014809374006024439,-0.0018537063712142105,-0.0010584706975585562,1319,-0.003138027884696605,-0.004842681832345409,0.2767247915087187,-0.9847868927837133,-0.9853246634881287,0.0002142535508833432,-0.0030860383145127333,-0.003735557987896578,-0.0025060433436445576,1034,-0.004266924459813699,-0.00587962331147026,0.24854932301740812,-0.9883983723131925,-0.9884648240839542,0.00025597491561549023,-0.004212289005374629,-0.005110287251881389,-0.002984134252935465
LONG:64:2:0.25,True,LONG,64,2,0.25,3175,941,-0.0014658269697889288,-0.002501347847530627,0.3368756641870351,-0.7548865027414817,-0.768158604469457,0.00024093386043362984,-0.0013951855417986482,-0.0020556373548091013,-0.0010142428344108805,330,-0.0031929138681541665,-0.004210616549635182,0.2787878787878788,-0.6567607364268382,-0.6745365037758891,0.0005066075682155706,-0.0036860240636797216,-0.0032295618861567653,0.0005177678692010293,126,-0.0057052180104345315,-0.0059997661018713075,0.2698412698412698,-0.5172663395830714,-0.5335275101300829,0.0009633972348625358,-0.006210156550100575,-0.006318921833601917,0.0020009429979552687
LONG:64:2:0.5,True,LONG,64,2,0.5,6139,1284,-0.00137647521815147,-0.002495681233201971,0.3395638629283489,-0.8351027911073157,-0.842524323698076,0.00020262838635508513,-0.0014198662040586373,-0.0016320621764588333,-0.0010871344427634177,943,-0.002904362526228023,-0.004237148791719415,0.28525980911983034,-0.9374566425225525,-0.9397894405956054,0.00025561450539895964,-0.0029854193648348017,-0.0031306433783490108,-0.0024138590695493693,707,-0.004096493542403936,-0.00550322739666383,0.2531824611032532,-0.9463807622908009,-0.9478984023200672,0.0003072831111969471,-0.004135498689592417,-0.005108053195684729,-0.0021670200661439575
LONG:64:3:0.25,True,LONG,64,3,0.25,2022,672,-0.0012439444507783384,-0.00219588303366681,0.3645833333333333,-0.5747491335636159,-0.6008945241342929,0.0002873533991074062,-0.001300541002510795,-0.0016616475862623419,-0.0007397524295876656,232,-0.003365337292424216,-0.004329318648939925,0.27586206896551724,-0.5468166537590908,-0.5547046037099466,0.0005902973325214337,-0.0038543580316039777,-0.002852307281282187,-0.00018681548905731405,92,-0.005514177145500856,-0.005829756710005877,0.2826086956521739,-0.40198876174224785,-0.41321391336853763,0.0011344931618544887,-0.006092671503737104,-0.003926399722242258,-0.00036925249953535235
LONG:64:3:0.5,True,LONG,64,3,0.5,4284,1015,-0.0014975880959241662,-0.0024937365287860972,0.3448275862068966,-0.7873350103493814,-0.8042172222353529,0.00022829807881888367,-0.0015585870701619441,-0.001710151044946344,-0.001221973806722447,707,-0.003008342819805148,-0.004088191637359288,0.2871287128712871,-0.8837541653827229,-0.8892553802160982,0.00029596056186726203,-0.0032187071538368394,-0.003157420409800154,-0.0022751642978242415,519,-0.004065648200822949,-0.005052265869130104,0.26011560693641617,-0.8814221529279709,-0.8862902293137788,0.00036303855687054804,-0.00424943660152775,-0.004892994864686433,-0.0017204717003266427
SHORT:12:1:0.25,True,SHORT,12,1,0.25,21610,4415,-0.001560199102237516,-0.0020738574031999024,0.32480181200453,-0.9991074446266416,-0.9991187749139168,0.00011461967523023657,-0.0019264501792187676,-0.0013789194688634042,-0.0012815948943394524,1681,-0.003654244784806495,-0.004901168949716156,0.2914931588340274,-0.9980690816582172,-0.9980747992118507,0.0002602971933040377,-0.0038602759436541143,-0.003257749145530216,-0.003550525885465371,746,-0.0049849547377416896,-0.00636419122683877,0.29222520107238603,-0.9776004680746805,-0.9780197212414297,0.0005037981933394471,-0.005506446151172177,-0.0036356428570160993,-0.004851720915900646
SHORT:12:1:0.5,True,SHORT,12,1,0.5,32874,5081,-0.001538769354675368,-0.0020738574031999024,0.3198189332808502,-0.9996530497675655,-0.9996566276230995,0.00010491619520263732,-0.002009644654126227,-0.0012192266324156157,-0.0013324776394418082,3882,-0.0032511774201981793,-0.004315493060435067,0.25553838227717673,-0.9999971652803534,-0.9999971736147452,0.00013224281638598038,-0.0036398734535080393,-0.002977111923412766,-0.002849805416603871,2949,-0.004398003295541455,-0.0058238392255995815,0.23363852153272296,-0.999997992779136,-0.999997997440174,0.00016620912592468301,-0.004720601451331309,-0.003951230233819984,-0.004190772876198438
SHORT:12:2:0.25,True,SHORT,12,2,0.25,12121,3130,-0.0015709727923244356,-0.0019599150183483146,0.3293929712460064,-0.9933599751210493,-0.9934913660983917,0.0001382749728117927,-0.002053062980005504,-0.0013033541412256643,-0.0011785195405853448,1049,-0.0035488641950498613,-0.00448807495999987,0.3136320305052431,-0.9775536574881638,-0.9777418928451715,0.00034935712251316065,-0.003871982613196046,-0.0029373115503731157,-0.0030601164183934114,462,-0.005163443283951433,-0.006231540049404926,0.31385281385281383,-0.9131148228534078,-0.9143857064967631,0.0006934751846162559,-0.006056748923991425,-0.002595957174303178,-0.006292003857092602
SHORT:12:2:0.5,True,SHORT,12,2,0.5,21459,3983,-0.001630486401200454,-0.0019933271559544248,0.3213658046698468,-0.9986560530938847,-0.9986654170264002,0.00011909421328067662,-0.0021952980530254448,-0.0013208046977667837,-0.001265817011874123,2883,-0.0033670509472968706,-0.0041332085590395735,0.26049254249046133,-0.9999459946747303,-0.9999463039787719,0.0001570354063654622,-0.003845699875237762,-0.003015369019084068,-0.0027630784861610446,2113,-0.004655249840099138,-0.005626106314389325,0.2285849503076195,-0.9999523890669627,-0.9999524974091933,0.00020353830729500963,-0.004995534303892615,-0.004174419676875167,-0.004291920483973582
SHORT:12:3:0.25,True,SHORT,12,3,0.25,7841,2339,-0.0014950378835282862,-0.0019095209456431491,0.334330910645575,-0.9719457407467809,-0.9734003226504649,0.0001646594724482259,-0.0019298387297340034,-0.0012118600479624718,-0.0011491605670364156,739,-0.0033211024230097247,-0.003989473754831177,0.33152909336941816,-0.9185686586433062,-0.9214789089593531,0.00042612830188597646,-0.0037794325132431915,-0.002432494425548727,-0.0025932895246869076,330,-0.004777611665764231,-0.005307110898002645,0.3303030303030303,-0.8016947805601468,-0.8087839147370016,0.0008301849521815655,-0.005762258952009425,-0.0017961495072957284,-0.0057941889526326625
SHORT:12:3:0.5,True,SHORT,12,3,0.5,15069,3219,-0.0015771036430392306,-0.0019773903652185935,0.31873252562907733,-0.9943578400293487,-0.9944301507102946,0.00013662429191196155,-0.0019257748741547797,-0.0013470844133618464,-0.0013693631195495794,2237,-0.0033245039189885727,-0.004013030223657661,0.2713455520786768,-0.999466580466106,-0.999471950901851,0.00018605592873830495,-0.003691752179405294,-0.0030183318433532635,-0.0028477390880622816,1595,-0.004699605613003556,-0.005626106314389325,0.23573667711598745,-0.9994951053016786,-0.9994962252961956,0.00024646479137326434,-0.0049390817460874155,-0.004218435431733688,-0.0048962146633014176
