method,block_weeks,eligible_weeks,effect,critical_mean,mean_gate_power,mean_gate_wilson_low,mean_gate_wilson_high,joint_power,joint_wilson_low,joint_wilson_high,draws
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,1,520,0.01,0.0040598525505,0.99852,0.997960803615,0.998926016398,0.99836,0.997776078669,0.998790790508,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,26,0,0.017320476987,0.08364,0.0802718649318,0.0871360697936,0.06172,0.0588037766415,0.064770893431,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,26,0.0025,0.017320476987,0.11084,0.107008134693,0.114791442302,0.0848,0.0814101675865,0.0883174107062,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,26,0.005,0.017320476987,0.14528,0.14096638925,0.149702605384,0.11484,0.110946865006,0.118851482911,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,26,0.0075,0.017320476987,0.19,0.185184844064,0.194910409478,0.15764,0.153175534337,0.162209662446,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,26,0.01,0.017320476987,0.24704,0.241732902386,0.252424824505,0.21396,0.208920600863,0.219087290502,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,52,0,0.0136963953773,0.06104,0.0581392770991,0.0640756019167,0.05224,0.0495499258838,0.0550676571035,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,52,0.0025,0.0136963953773,0.09776,0.0941401052559,0.101503490824,0.08436,0.0809783747308,0.0878693387605,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,52,0.005,0.0136963953773,0.14824,0.143889318191,0.152698766925,0.12964,0.125532962227,0.133860838102,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,52,0.0075,0.0136963953773,0.2156,0.210546233462,0.220741153981,0.19292,0.188076018427,0.197858337889,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,52,0.01,0.0136963953773,0.3026,0.296936211422,0.308324443575,0.27956,0.274031121674,0.285156612812,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,78,0,0.0115755962496,0.05532,0.0525539625105,0.0582226740868,0.04828,0.045691546306,0.0510072534686,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,78,0.0025,0.0115755962496,0.09768,0.0940614605368,0.101422160125,0.08624,0.0828235006907,0.089783635134,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,78,0.005,0.0115755962496,0.16152,0.157010242107,0.166133762471,0.14616,0.141835304038,0.150593420198,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,78,0.0075,0.0115755962496,0.2582,0.252812439959,0.263661857804,0.23968,0.234428586391,0.245011402003,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,78,0.01,0.0115755962496,0.38012,0.374121682095,0.386155153371,0.36288,0.356941158182,0.368860974611,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,104,0,0.0104448457323,0.04948,0.0468602568796,0.0522381741715,0.045,0.0424994291968,0.0476403784217,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,104,0.0025,0.0104448457323,0.09544,0.0918597190088,0.0991445899365,0.08708,0.0836480794835,0.0906387982347,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,104,0.005,0.0104448457323,0.17584,0.171170981113,0.180608623365,0.16384,0.159303608944,0.168479682768,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,104,0.0075,0.0104448457323,0.29316,0.287549369297,0.298834186325,0.27784,0.272321906859,0.283426356131,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,104,0.01,0.0104448457323,0.44656,0.440406230159,0.452730190323,0.431,0.424872413464,0.437148788131,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,156,0,0.00857605757008,0.04368,0.0412158306992,0.046284382515,0.0398,0.0374465950051,0.0422948104147,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,156,0.0025,0.00857605757008,0.10576,0.102008266852,0.109632871072,0.09832,0.0946906394294,0.10207278458,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,156,0.005,0.00857605757008,0.21872,0.213639230314,0.223887198448,0.20664,0.201666216062,0.211703924516,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,156,0.0075,0.00857605757008,0.39176,0.385726092756,0.397827166094,0.37856,0.372566729309,0.384590585498,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,156,0.01,0.00857605757008,0.60164,0.595556289529,0.6076924796,0.59036,0.58425067154,0.596441563588,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,208,0,0.0075302956094,0.04176,0.0393499137116,0.04431088946,0.03824,0.0359328410845,0.0406890436757,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,208,0.0025,0.0075302956094,0.11696,0.113035016592,0.121002679914,0.11032,0.106496215814,0.114263520962,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,208,0.005,0.0075302956094,0.26496,0.259525952823,0.270466267799,0.25428,0.248920167971,0.259715334288,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,208,0.0075,0.0075302956094,0.475,0.468814117173,0.481193564564,0.4634,0.457224772358,0.469586473705,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,208,0.01,0.0075302956094,0.7114,0.705751133932,0.716983909298,0.7032,0.697506092529,0.708831470311,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,260,0,0.00679426544932,0.03996,0.0376019097938,0.0424594464629,0.037,0.0347303596161,0.0394119061583,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,260,0.0025,0.00679426544932,0.12708,0.123008602593,0.131265984346,0.1206,0.116621306377,0.124695271668,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,260,0.005,0.00679426544932,0.30276,0.297095335203,0.308485270631,0.2932,0.287589137934,0.298874405397,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,260,0.0075,0.00679426544932,0.55516,0.548991874121,0.561311176894,0.54456,0.538380336438,0.550725971633,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,260,0.01,0.00679426544932,0.80064,0.795641575995,0.805546046505,0.79512,0.790071680313,0.800077638315,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,312,0,0.00621229957968,0.03804,0.0357388459951,0.040483100219,0.03484,0.0326374251702,0.0371855043063,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,312,0.0025,0.00621229957968,0.1348,0.130622738935,0.139089475883,0.12784,0.123757965149,0.132036388265,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,312,0.005,0.00621229957968,0.34932,0.343433748022,0.355252551345,0.3384,0.332559914843,0.344289739907,25000
