trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,formation_return,market_formation_return,formation_gap,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20211213-ADAUSDT-7-1,development-20211213,2021-12-13T00:00:00Z,2021-12-20T00:00:00Z,2021-12-12T00:00:00Z,ADAUSDT,7,-0.023657474600870754,0.004849249591721523,-0.028506724192592276,0.25,1.3454,1.2437,0.1858183439869184,21,0.0004316949728653932,0.0002158474864326966,0.018897725583469582,0.018609064218819665,3.469446951953614e-18,0.019040759191685058,0.01812797328303853,3.469446951953614e-18,0.01855966825590392,0.01764688234725731,6.938893903907228e-18,0.017862729833690007
development-20211220-ADAUSDT-7-1,development-20211220,2021-12-20T00:00:00Z,2021-12-27T00:00:00Z,2021-12-19T00:00:00Z,ADAUSDT,7,-0.07559090233387833,-0.045001756675624595,-0.030589145658253734,0.25,1.2437,1.4548,0.20101310605451475,21,0.0005692613944279167,0.00028463069721395835,-0.04243386668810806,-0.042759327008120934,6.938893903907228e-18,-0.04219006561369302,-0.04330178633512902,2.7755575615628914e-17,-0.0427325249407011,-0.04384424566213718,-2.0816681711721685e-17,-0.04355961496492322
development-20211227-BNBUSDT-7-1,development-20211227,2021-12-27T00:00:00Z,2022-01-03T00:00:00Z,2021-12-26T00:00:00Z,BNBUSDT,7,0.03156444092050359,0.09126622105026165,-0.05970178012975806,0.25,546.5,530.92,0.0004574565416285453,21,0.0,0.0,0.007127172918572761,0.006831449222323871,-2.688821387764051e-17,0.006831449222323871,0.006338580671546246,6.071532165918825e-18,0.006338580671546246,0.0058457121207685925,1.1275702593849246e-17,0.0058457121207685925
development-20220103-DOGEUSDT-7-1,development-20220103,2022-01-03T00:00:00Z,2022-01-10T00:00:00Z,2022-01-02T00:00:00Z,DOGEUSDT,7,-0.08099704890387871,-0.05946908044116578,-0.021527968462712932,0.25,0.1744,0.15042,1.43348623853211,22,3.0916324572247734e-05,-0.0002386542106760321,0.03437499999999999,0.03409562499999999,-1.3877787807814457e-17,0.03412654132457224,0.03363002062500001,-3.469446951953614e-17,0.03366093694957226,0.033164416249999995,0.0,0.032925762039323965
development-20220110-ETHUSDT-7-1,development-20220110,2022-01-10T00:00:00Z,2022-01-17T00:00:00Z,2022-01-09T00:00:00Z,ETHUSDT,7,-0.17673102103648264,-0.14607488117375986,-0.03065613986272278,0.25,3149.99,3345.5,7.936533131851213e-05,20,0.00018207571426756273,-8.76260530731868e-06,-0.015516715926082336,-0.015826025955638007,-3.469446951953614e-17,-0.015643950241370445,-0.016341551981593594,-3.469446951953614e-17,-0.016159476267326032,-0.016857078007549237,1.3877787807814457e-17,-0.016865840612856554
development-20220117-BTCUSDT-7-1,development-20220117,2022-01-17T00:00:00Z,2022-01-24T00:00:00Z,2022-01-16T00:00:00Z,BTCUSDT,7,0.028898560185342426,0.10664132688816697,-0.07774276670282454,0.25,43060.66,36230.0,5.805763311570235e-06,21,0.00034623926292528243,0.0001650811486241972,0.039657195221810354,0.03938098953894345,0.0,0.039727228801868734,0.038920670528482415,1.3877787807814457e-17,0.0392669097914077,0.03846035151802135,0.0,0.038625432666645546
development-20220124-ETHUSDT-7-1,development-20220124,2022-01-24T00:00:00Z,2022-01-31T00:00:00Z,2022-01-23T00:00:00Z,ETHUSDT,7,-0.24124418246654455,-0.20375662500915825,-0.0374875574573863,0.25,2538.4,2600.45,9.848723605420737e-05,22,-0.00011941050397722087,-0.0003043022563959034,-0.0061111329971635375,-0.006414799676961874,-3.642919299551295e-17,-0.006534210180939095,-0.006920914476638812,-2.949029909160572e-17,-0.0070403249806160325,-0.007427029276315722,4.336808689942018e-18,-0.007731331532711626
development-20220131-ADAUSDT-7-1,development-20220131,2022-01-31T00:00:00Z,2022-02-07T00:00:00Z,2022-01-30T00:00:00Z,ADAUSDT,7,-0.07964050542801204,-0.015015992859039798,-0.06462451256897224,0.25,1.0342,1.1423,0.24173274028234384,20,-8.488024799410174e-05,-0.00027672242930211753,-0.026131309224521393,-0.0264469880100561,3.469446951953614e-18,-0.026531868258050203,-0.026973134998066195,-3.122502256758253e-17,-0.0270580152460603,-0.027499281986076235,-1.0408340855860843e-17,-0.027776004415378353
development-20220207-ADAUSDT-7-1,development-20220207,2022-02-07T00:00:00Z,2022-02-14T00:00:00Z,2022-02-06T00:00:00Z,ADAUSDT,7,0.10441844725901595,0.12564603190028445,-0.021227584641268504,0.25,1.1423,1.0415,0.21885669263766083,21,0.00023746626980749363,2.6379045807734416e-05,0.02206075461787621,0.021773991070646925,-1.0408340855860843e-17,0.02201145734045442,0.021296065061717606,-1.0408340855860843e-17,0.0215335313315251,0.020818139052788204,3.469446951953614e-18,0.02084451809859594
development-20220214-ADAUSDT-7-1,development-20220214,2022-02-14T00:00:00Z,2022-02-21T00:00:00Z,2022-02-13T00:00:00Z,ADAUSDT,7,-0.08824301847150484,-0.011173503479199745,-0.07706951499230509,0.25,1.0415,0.9308,0.24003840614498317,22,0.00013772897811473837,-8.376594945350455e-05,0.02657225156024967,0.026288194911185808,-6.938893903907228e-18,0.026425923889300547,0.025814783106097056,6.938893903907228e-18,0.025952512084211794,0.025341371301008164,-1.0408340855860843e-17,0.02525760535155466
