trade_id,symbol,signal_time,entry_time,exit_time,direction,entry_price,exit_price,funding_rate_sum,funding_events,funding_return,return_z,volume_shock,quote_volume,favorable_price_cost_return,favorable_net_return,base_price_cost_return,base_net_return,stress_price_cost_return,stress_net_return
COMPUSDT-20211119-+1,COMPUSDT,2021-11-18T00:00:00+00:00,2021-11-19T00:00:00+00:00,2021-11-20T00:00:00+00:00,1,293.89,308.51,0.0002,2,-0.0002,-1.79708892009,-0.341343573202,69448865.2437,0.0484875633536,0.0482875633536,0.0463926831072,0.0461926831072,0.0443019842584,0.0441019842584
COMPUSDT-20220122-+1,COMPUSDT,2022-01-21T00:00:00+00:00,2022-01-22T00:00:00+00:00,2022-01-23T00:00:00+00:00,1,138.89,122.71,0.00027553,3,-0.00027553,-2.8642664641,-0.0381688487216,47271634.4141,-0.117554638216,-0.117830168216,-0.119317765812,-0.119593295812,-0.121077374191,-0.121352904191
COMPUSDT-20220216--1,COMPUSDT,2022-02-15T00:00:00+00:00,2022-02-16T00:00:00+00:00,2022-02-17T00:00:00+00:00,-1,135.97,135.86,0.00018167,3,0.00018167,1.58838182635,-1.07587794082,24509423.946,-0.000390278446009,-0.000208608446009,-0.00239066082442,-0.00220899082442,-0.00439505198514,-0.00421338198514
COMPUSDT-20220218-+1,COMPUSDT,2022-02-17T00:00:00+00:00,2022-02-18T00:00:00+00:00,2022-02-19T00:00:00+00:00,1,122.76,121.19,3.645e-05,2,-3.645e-05,-1.83581452437,-0.252210819489,30919062.2035,-0.0139731247599,-0.0140095747599,-0.0159432084267,-0.0159796584267,-0.0179093597908,-0.0179458097908
COMPUSDT-20220412-+1,COMPUSDT,2022-04-11T00:00:00+00:00,2022-04-12T00:00:00+00:00,2022-04-13T00:00:00+00:00,1,117.4,128.71,1.522e-05,2,-1.522e-05,-1.94292219232,-0.563387970572,36571956.8443,0.095022492467,0.095007272467,0.0928346353392,0.0928194153392,0.0906511451917,0.0906359251917
COMPUSDT-20220505--1,COMPUSDT,2022-05-04T00:00:00+00:00,2022-05-05T00:00:00+00:00,2022-05-06T00:00:00+00:00,-1,115.54,104.56,0.0003,3,0.0003,2.06032492343,-0.928419480695,30880819.1971,0.0938327431099,0.0941327431099,0.0920209954093,0.0923209954093,0.0902056169517,0.0905056169517
COMPUSDT-20220514--1,COMPUSDT,2022-05-13T00:00:00+00:00,2022-05-14T00:00:00+00:00,2022-05-15T00:00:00+00:00,-1,68.29,71.15,0.00013827,2,0.00013827,1.53904776675,-0.841821550516,34490420.3049,-0.0430794971545,-0.0429412271545,-0.0451653434343,-0.0450270734343,-0.0472553697667,-0.0471170997667
COMPUSDT-20220519-+1,COMPUSDT,2022-05-18T00:00:00+00:00,2022-05-19T00:00:00+00:00,2022-05-20T00:00:00+00:00,1,64.32,67.32,0.00012855,2,-0.00012855,-1.59402975974,-0.701050691992,30814119.2955,0.0453865740257,0.0452580240257,0.0432978895621,0.0431693395621,0.0412133741294,0.0410848241294
COMPUSDT-20220620--1,COMPUSDT,2022-06-19T00:00:00+00:00,2022-06-20T00:00:00+00:00,2022-06-21T00:00:00+00:00,-1,31.99,34.8,6.127e-05,3,6.127e-05,1.82561195154,-0.245529641167,32024085.0547,-0.0890392304161,-0.0889779604161,-0.0912170881738,-0.0911558181738,-0.093399310376,-0.093338040376
COMPUSDT-20220728--1,COMPUSDT,2022-07-27T00:00:00+00:00,2022-07-28T00:00:00+00:00,2022-07-29T00:00:00+00:00,-1,55.35,57.89,8.019e-05,3,8.019e-05,2.03324323462,-0.512689216201,51456443.7495,-0.047089072663,-0.047008882663,-0.0491829461209,-0.0491027561209,-0.051281015718,-0.051200825718
COMPUSDT-20220907-+1,COMPUSDT,2022-09-06T00:00:00+00:00,2022-09-07T00:00:00+00:00,2022-09-08T00:00:00+00:00,1,44.53,48.67,-0.0008386,3,0.0008386,-1.66967578411,-0.512690995983,31890289.307,0.0916602519961,0.0924988519961,0.0894791126315,0.0903177126315,0.0873023268384,0.0881409268384
